Mes,ipc,dolar,iipc,fecha,fecha1
jul-22,851.8,131.27,7.45679737,jun-22,630
ago-22,911.1,131.27,6.97146307,jun-22,631
sep-22,967.3,147.32,6.566422,sep-22,632
oct-22,1028.7,156.91,6.17449208,oct-22,633
nov-22,1079.3,167.28,5.88501807,nov-22,634
dic-22,1134.6,177.16,5.59818438,dic-22,635
ene-23,1203,187,5.27988362,ene-23,636
feb-23,1282.7,197.15,4.95182038,feb-23,637
mar-23,1381.2,209.01,4.59868231,mar-23,638
abr-23,1497.2,222.68,4.24238579,abr-23,639
may-23,1613.6,239.5,3.9363535,may-23,640
jun-23,1709.6,256.7,3.71531352,jun-23,641
jul-23,1818.1,275.25,3.49359221,jul-23,642
ago-23,2044.3,350.1,3.1070293,ago-23,643
sep-23,2304.9,349.95,2.75573778,sep-23,644
oct-23,2496.3,349.95,2.54444578,oct-23,645
nov-23,2816.1,360.5,2.25549519,nov-23,646
dic-23,3533.2,808.45,1.79771878,dic-23,647
ene-24,4261.5,826.4,1.49048457,ene-24,648
feb-24,4825.8,842.2,1.31619628,feb-24,649
mar-24,5357.1,858,1.18566015,mar-24,650
abr-24,5830.2,876.5,1.08944805,abr-24,651
may-24,6073.7,895.5,1.04577111,may-24,652
jun-24,6351.7,912,1,jun-24,653
jul-24,6351.7,912,1,jul-24,654
